Dish Name,Price,Url_of_the_food_Item
High Protein English Breakfast,₹149,https://www.freshmenu.com/continental_high_protein_english_breakfast/product/10340
Great Brit English Breakfast,₹149,https://www.freshmenu.com/continental_great_brit_english_breakfast/product/14088
Full English Breakfast,₹149,https://www.freshmenu.com/continental_full_english_breakfast/product/14089
Smoked Sausages with Hashbrown,₹149,https://www.freshmenu.com/continental_smoked_sausages_with_hashbrown/product/10933
The Muscle Multiplier,₹149,https://www.freshmenu.com/continental_the_muscle_multiplier/product/13267
The V-King,₹149,https://www.freshmenu.com/continental_the_v_king/product/13244
Fresh Fruit Bowl,₹149,https://www.freshmenu.com/universal_fresh_fruit_bowl/product/12227
The Sprinter,₹149,https://www.freshmenu.com/continental_the_sprinter/product/13254
Cheese French Toast Combo,₹149,https://www.freshmenu.com/continental_cheese_french_toast_combo/product/13377
Classic French Toast Combo,₹149,https://www.freshmenu.com/continental_classic_french_toast_combo/product/13378
Scrambled Egg Sausage Brekkie,₹149,https://www.freshmenu.com/continental_scrambled_egg_sausage_brekkie/product/13106
The Sausagaddict,₹149,https://www.freshmenu.com/continental_the_sausagaddict/product/13248
The NV King,₹149,https://www.freshmenu.com/continental_the_nv_king/product/13242
The Greenhouse,₹149,https://www.freshmenu.com/continental_the_greenhouse/product/13250
The Coach Breakfast,₹149,https://www.freshmenu.com/continental_the_coach_breakfast/product/13256
Paneer Power Breakfast,₹149,https://www.freshmenu.com/continental_paneer_power_breakfast/product/13375
Power Up Breakfast,₹149,https://www.freshmenu.com/continental_power_up_breakfast/product/13252
Kothu Chicken Scrambled Eggs Combo,₹149,https://www.freshmenu.com/continental_kothu_chicken_scrambled_eggs_combo/product/14651
PeriPeri Chicken Scrambled Eggs Combo,₹149,https://www.freshmenu.com/continental_periperi_chicken_scrambled_eggs_combo/product/14645
Spinach Mushroom Scrambled Eggs Combo,₹149,https://www.freshmenu.com/continental_spinach_mushroom_scrambled_eggs_combo/product/14648
Jalapeno Corn Scrambled Eggs Combo,₹149,https://www.freshmenu.com/continental_jalapeno_corn_scrambled_eggs_combo/product/14653
Mexican Pulled Chicken Sandwich Combo,₹149,https://www.freshmenu.com/continental_mexican_pulled_chicken_sandwich_combo/product/14661
Kothu Chicken Sandwich Combo,₹149,https://www.freshmenu.com/continental_kothu_chicken_sandwich_combo/product/14657
Peri Peri Pulled Chicken Sandy Combo,₹149,https://www.freshmenu.com/continental_peri_peri_pulled_chicken_sandy_combo/product/14659
Bbq Pulled Chicken Sandy Combo,₹149,https://www.freshmenu.com/continental_bbq_pulled_chicken_sandy_combo/product/14655
Roast Chicken Russian Omelette,₹149,https://www.freshmenu.com/continental_roast_chicken_russian_omelette/product/12442
Masala Omelette,₹149,https://www.freshmenu.com/fusion_masala_omelette/product/11963
Meaty Omelette,₹149,https://www.freshmenu.com/fusion_meaty_omelette/product/11965
Tex Mex Meaty Omelette,₹149,https://www.freshmenu.com/fusion_tex_mex_meaty_omelette/product/10888
Iron-Man Omelette,₹149,https://www.freshmenu.com/continental_iron_man_omelette/product/13738
Kothu Chicken Omelette,₹149,https://www.freshmenu.com/continental_kothu_chicken_omelette/product/14665
Creamy Chicken Omelette,₹149,https://www.freshmenu.com/continental_creamy_chicken_omelette/product/12551
High-Protein Chicken Omelette,₹149,https://www.freshmenu.com/continental_high_protein_chicken_omelette/product/13739
Scallion Cheese Omelette,₹149,https://www.freshmenu.com/continental_scallion_cheese_omelette/product/14667
Brocolli And Cheese Omelette,₹149,https://www.freshmenu.com/continental_brocolli_and_cheese_omelette/product/14663
Smoked-Chicken and Cheese Omelette,₹149,https://www.freshmenu.com/continental_smoked_chicken_and_cheese_omelette/product/13717
Chicken Maryland,₹149,https://www.freshmenu.com/mexican_chicken_maryland/product/12974
Ultimate Burrito Bowl,₹149,https://www.freshmenu.com/mexican_ultimate_burrito_bowl/product/10334
Mexican Burrito Bowl,₹149,https://www.freshmenu.com/mexican_mexican_burrito_bowl/product/10332
Mushroom Veloute Chicken Rice Bowl,₹149,https://www.freshmenu.com/continental_mushroom_veloute_chicken_rice_bowl/product/14489
Signature Roast Chicken Rice Bowl,₹149,https://www.freshmenu.com/continental_signature_roast_chicken_rice_bowl/product/12949
Crispy Fried Chicken Rice Bowl,₹149,https://www.freshmenu.com/mexican_crispy_fried_chicken_rice_bowl/product/12028
Veg Manchurian Fried Rice Bowl,₹149,https://www.freshmenu.com/asian_veg_manchurian_fried_rice_bowl/product/12775
Schezwan Chicken Rice Bowl,₹149,https://www.freshmenu.com/pan_asian_schezwan_chicken_rice_bowl/product/10379
Paneer Tikka Rice Bowl,₹149,https://www.freshmenu.com/japanese_teriyaki_chicken_rice_bowl/product/10372
Gomashio Crispy Chicken Rice Bowl,₹149,https://www.freshmenu.com/japanese_teriyaki_chicken_rice_bowl/product/10372
Rooster Chicken Rice Bowl,₹149,https://www.freshmenu.com/indian_paneer_tikka_rice_bowl/product/12021
Korean Fried Chicken Rice Bowl,₹149,https://www.freshmenu.com/asian_gomashio_crispy_chicken_rice_bowl/product/12801
Chilli Paneer Rice Bowl,₹149,https://www.freshmenu.com/pan_asian_rooster_chicken_rice_bowl/product/14134
Shawarma Chicken Rice Bowl,₹149,https://www.freshmenu.com/asian_korean_fried_chicken_rice_bowl/product/12972
Chicken Tikka Rice Bowl,₹149,https://www.freshmenu.com/pan_asian_chilli_paneer_rice_bowl/product/12029
Dragon Paneer Rice Bowl,₹149,https://www.freshmenu.com/world_cuisine_shawarma_chicken_rice_bowl/product/13424
K-Pop Chicken Rice Bowl,₹149,https://www.freshmenu.com/indian_chicken_tikka_rice_bowl/product/12022
Cocktail Chicken Rice Bowl,₹149,https://www.freshmenu.com/asian_dragon_paneer_rice_bowl/product/12771
Guntur Chicken Rice Bowl,₹149,https://www.freshmenu.com/asian_k_pop_chicken_rice_bowl/product/13323
Strip Steak Cheesey Mushroom Rice Bowl,₹149,https://www.freshmenu.com/mexican_cocktail_chicken_rice_bowl/product/13453
Creamy Black Pepper Chicken Rice Bowl,₹149,https://www.freshmenu.com/continental_guntur_chicken_rice_bowl/product/14409
Vegetable Dhansak Rice Bowl,₹149,https://www.freshmenu.com/continental_strip_steak_cheesey_mushroom_rice_bowl/product/13882
Pepper Chicken Rice Bowl,₹149,https://www.freshmenu.com/continental_creamy_black_pepper_chicken_rice_bowl/product/14497
Soboro Don,₹149,https://www.freshmenu.com/continental_vegetable_dhansak_rice_bowl/product/14421
Baked Rosemary Paneer Cilantro Bowl,₹149,https://www.freshmenu.com/continental_pepper_chicken_rice_bowl/product/14411
Crispy Hot Peri Peri Chicken Bowl,₹149,https://www.freshmenu.com/pan_asian_soboro_don/product/12061
Smoke That Bowl,₹149,https://www.freshmenu.com/world_cuisine_baked_rosemary_paneer_cilantro_bowl/product/14266
Honey Mustard Chicken Bowl,₹149,https://www.freshmenu.com/asian_crispy_hot_peri_peri_chicken_bowl/product/14610
Spicy Paneer Mexican Bowl,₹149,https://www.freshmenu.com/pan_asian_smoke_that_bowl/product/10343
Creamy Afghani Chicken Kebab Bowl,₹149,https://www.freshmenu.com/continental_honey_mustard_chicken_bowl/product/11766
Paneer Butter Masala Bowl,₹149,https://www.freshmenu.com/continental_spicy_paneer_mexican_bowl/product/12778
Ghee Roast Chicken Bowl,₹149,https://www.freshmenu.com/mediterranean_creamy_afghani_chicken_kebab_bowl/product/14183
Black Pepper Honey Chicken Bowl,₹149,https://www.freshmenu.com/indian_paneer_butter_masala_bowl/product/4462
Creamy Peri Peri Chicken Bowl,₹149,https://www.freshmenu.com/indian_ghee_roast_chicken_bowl/product/11853
Sholay Paneer Kebab Bowl,₹149,https://www.freshmenu.com/pan_asian_black_pepper_honey_chicken_bowl/product/10381
Butter Chicken Bowl,₹149,https://www.freshmenu.com/mexican_creamy_peri_peri_chicken_bowl/product/12032
Veggie Melange Burrito,₹149,https://www.freshmenu.com/india_sholay_paneer_kebab_bowl/product/14187
Cheesey Chicken Spring Bowl,₹149,https://www.freshmenu.com/indian_butter_chicken_bowl/product/13119
Lemongrass Tofu Bowl,₹149,https://www.freshmenu.com/mexican_veggie_melange_burrito/product/14616
Southwest Grilled BBQ Chicken Bowl,₹149,https://www.freshmenu.com/asian_cheesey_chicken_spring_bowl/product/14614
Classic Mac n Cheese Steak Meal,₹149,https://www.freshmenu.com/asian_lemongrass_tofu_bowl/product/14608
Doujiang Korean Fried Chicken,₹149,https://www.freshmenu.com/continental_southwest_grilled_bbq_chicken_bowl/product/14542
Kampung Chilli Chicken Fried Rice,₹149,https://www.freshmenu.com/continental_classic_mac_n_cheese_steak_meal/product/12918
Chicken Pasta Al Limone,₹149,https://www.freshmenu.com/continental_doujiang_korean_fried_chicken/product/13180
Penne Alfredo,₹149,https://www.freshmenu.com/continental_kampung_chilli_chicken_fried_rice/product/13899
Pesto Paneer Pasta,₹149,https://www.freshmenu.com/world_cuisine_chicken_pasta_al_limone/product/14278
Pasta Al Pesto Popcorn Chicken,₹149,https://www.freshmenu.com/continental_penne_alfredo/product/13549
Chicken Florentine Pasta Bowl,₹149,https://www.freshmenu.com/continental_pesto_paneer_pasta/product/13059
Creamy Mushroom Pasta,₹149,https://www.freshmenu.com/continental_pasta_al_pesto_popcorn_chicken/product/13989
Chargrilled Moroccan Cottage Cheese Burrito,₹149,https://www.freshmenu.com/italian_chicken_florentine_pasta_bowl/product/14274
Mac And Cheese Platter,₹149,https://www.freshmenu.com/continental_creamy_mushroom_pasta/product/11062
Sofrito Tofu Burrito,₹149,https://www.freshmenu.com/mexican_chargrilled_moroccan_cottage_cheese_burrito/product/11886
Spaghetti Alla Trevisana,₹149,https://www.freshmenu.com/continental_mac_and_cheese_platter/product/13427
The Mafias Meal,₹149,https://www.freshmenu.com/mexican_sofrito_tofu_burrito/product/14611
Chicken Steak Ala Cafe De Paris,₹149,https://www.freshmenu.com/italian_spaghetti_alla_trevisana/product/13866
Creamy Harissa Chicken Spaghetti,₹149,https://www.freshmenu.com/continental_the_mafias_meal/product/9865
Classic Spaghetti Meatballs,₹149,https://www.freshmenu.com/continental_chicken_steak_ala_cafe_de_paris/product/12953
Cheesy Peri Peri Chicken Spaghetti,₹149,https://www.freshmenu.com/continental_creamy_harissa_chicken_spaghetti/product/13896
Espagnole Spaghetti,₹149,https://www.freshmenu.com/italian_classic_spaghetti_meatballs/product/13200
Spiced Chicken and Arrabiata Mac,₹149,https://www.freshmenu.com/continental_cheesy_peri_peri_chicken_spaghetti/product/14606
Chicken Spaghetti Al Forno,₹149,https://www.freshmenu.com/continental_espagnole_spaghetti/product/14493
Papalote-Mexican Grill,₹149,https://www.freshmenu.com/italian_spiced_chicken_and_arrabiata_mac/product/13601
Penne Arrabbiata,₹149,https://www.freshmenu.com/continental_chicken_spaghetti_al_forno/product/13047
Chicken Tikka Masala Thali,₹149,https://www.freshmenu.com/mexican_papalote_mexican_grill/product/13356
Butter Chicken Thali,₹149,https://www.freshmenu.com/continental_penne_arrabbiata/product/7136
Paneer Makhani Thali,₹149,https://www.freshmenu.com/indian_chicken_tikka_masala_thali/product/13386
Chargrilled Moroccan Cottage Cheese Superbowl,₹149,https://www.freshmenu.com/indian_butter_chicken_thali/product/13385
Ultimate Burrito Superbowl,₹149,https://www.freshmenu.com/indian_paneer_makhani_thali/product/13388
Stir Fried Chilli Paneer Superbowl,₹149,https://www.freshmenu.com/mexican_chargrilled_moroccan_cottage_cheese_superbowl/product/11898
Grilled BBQ Chicken Superbowl,₹149,https://www.freshmenu.com/continental_ultimate_burrito_superbowl/product/9602
Mexican Burrito Superbowl,₹149,https://www.freshmenu.com/pan_asian_stir_fried_chilli_paneer_superbowl/product/7684
Teriyaki Chicken Superbowl,₹149,https://www.freshmenu.com/mexican_grilled_bbq_chicken_superbowl/product/13054
Smoke that Superbowl,₹149,https://www.freshmenu.com/mexican_mexican_burrito_superbowl/product/11148
Summer Glow Superbowl,₹149,https://www.freshmenu.com/pan_asian_teriyaki_chicken_superbowl/product/8128
Soboro Don Superbowl,₹149,https://www.freshmenu.com/pan_asian_smoke_that_superbowl/product/12096
Chicken Cafe De Paris Superbowl,₹149,https://www.freshmenu.com/continental_summer_glow_superbowl/product/13041
Chicken Francese Superbowl,₹149,https://www.freshmenu.com/pan_asian_soboro_don_superbowl/product/12197
Schezwan Chicken Superbowl,₹149,https://www.freshmenu.com/continental_chicken_cafe_de_paris_superbowl/product/13580
Paneer Butter Masala Superbowl,₹149,https://www.freshmenu.com/continental_chicken_francese_superbowl/product/13056
Creamy Peri Peri Chicken Superbowl,₹149,https://www.freshmenu.com/asian_schezwan_chicken_superbowl/product/10407
Honey Mustard Chicken Superbowl,₹149,https://www.freshmenu.com/indian_paneer_butter_masala_superbowl/product/12738
Paneer Tikka Supergrain Bowl,₹149,https://www.freshmenu.com/mexican_creamy_peri_peri_chicken_superbowl/product/12733
Coqfighter Chicken Superbowl,₹149,https://www.freshmenu.com/continental_honey_mustard_chicken_superbowl/product/12732
Crispy Fried Chicken Superbowl,₹149,https://www.freshmenu.com/indian_paneer_tikka_supergrain_bowl/product/13070
Peri Peri Chicken Superbowl,₹149,https://www.freshmenu.com/asian_coqfighter_chicken_superbowl/product/13574
Signature Roast Chicken Superbowl,₹149,https://www.freshmenu.com/mexican_crispy_fried_chicken_superbowl/product/13578
Sofrito Tofu Superbowl,₹149,https://www.freshmenu.com/continental_peri_peri_chicken_superbowl/product/12991
Rooster Chicken Superbowl,₹149,https://www.freshmenu.com/continental_signature_roast_chicken_superbowl/product/14670
Strip Steak Cheesey Mushroom SuperBowl,₹149,https://www.freshmenu.com/mexican_sofrito_tofu_superbowl/product/14672
Pepper Chicken Superbowl,₹149,https://www.freshmenu.com/pan_asian_rooster_chicken_superbowl/product/14671
Mushroom Veloute Chicken Superbowl,₹149,https://www.freshmenu.com/continental_strip_steak_cheesey_mushroom_superbowl/product/14674
Chicken Maryland Superbowl,₹149,https://www.freshmenu.com/continental_pepper_chicken_superbowl/product/14675
Ghee Roast Chicken Superbowl,₹149,https://www.freshmenu.com/continental_mushroom_veloute_chicken_superbowl/product/14677
Gomashio Crispy Chicken Superbowl,₹149,https://www.freshmenu.com/mexican_chicken_maryland_superbowl/product/14669
Veggie Melange Superbowl,₹339,https://www.freshmenu.com/indian_ghee_roast_chicken_superbowl/product/14676
Chunky Chicken Schezwan Noodles,₹149,https://www.freshmenu.com/asian_gomashio_crispy_chicken_superbowl/product/13577
Dragon Noodles with Dumplings,₹149,https://www.freshmenu.com/mexican_veggie_melange_superbowl/product/14673
Dan Dan Chicken Noodles,₹149,https://www.freshmenu.com/asian_chunky_chicken_schezwan_noodles/product/13001
Shanghai Chicken Noodles,₹149,https://www.freshmenu.com/pan_asian_dragon_noodles_with_dumplings/product/5886
Mixed Veg Hakka Noodles,₹149,https://www.freshmenu.com/pan_asian_dan_dan_chicken_noodles/product/10378
K-Pop Chicken Noodle Bowl,₹149,https://www.freshmenu.com/asian_shanghai_chicken_noodles/product/11821
Chilli Paneer Noodle Bowl,₹149,https://www.freshmenu.com/pan_asian_mixed_veg_hakka_noodles/product/10348
Korean BBQ Noodle Bowl,₹149,https://www.freshmenu.com/asian_k_pop_chicken_noodle_bowl/product/13257
Paneer Manchurian Noodle Bowl,₹149,https://www.freshmenu.com/pan_asian_chilli_paneer_noodle_bowl/product/12030
Pan Asian Egg Chicken Chowmein,₹149,https://www.freshmenu.com/asian_korean_bbq_noodle_bowl/product/13146
Spicy Satay Chicken Ramen,₹149,https://www.freshmenu.com/asian_paneer_manchurian_noodle_bowl/product/13703
Taiwanese Chicken Ramen,₹149,https://www.freshmenu.com/pan_asian_pan_asian_egg_chicken_chowmein/product/10383
Cilantro Lime Ramen,₹149,https://www.freshmenu.com/continental_spicy_satay_chicken_ramen/product/14423
American Lo Mein,₹149,https://www.freshmenu.com/continental_taiwanese_chicken_ramen/product/14425
Lucky 5 Noodle Bowl,₹149,https://www.freshmenu.com/chinese_cilantro_lime_ramen/product/14429
Chicken Jajangmyeon Noodle Bowl,₹149,https://www.freshmenu.com/pan_asian_american_lo_mein/product/10338
Black Pepper Honey Chicken Noodles,₹149,https://www.freshmenu.com/asian_lucky_5_noodle_bowl/product/13143
Schezwan Burnt Garlic Ramen,₹149,https://www.freshmenu.com/asian_chicken_jajangmyeon_noodle_bowl/product/14126
Honey Soy Stir Fry Ramen,₹149,https://www.freshmenu.com/pan_asian_black_pepper_honey_chicken_noodles/product/10380
Chilli Garlic Chicken Noodles,₹149,https://www.freshmenu.com/chinese_schezwan_burnt_garlic_ramen/product/14432
Coqfighter Chicken Bowl,₹149,https://www.freshmenu.com/continental_honey_soy_stir_fry_ramen/product/14427
Teriyaki Chicken Noodle Bowl,₹149,https://www.freshmenu.com/pan_asian_chilli_garlic_chicken_noodles/product/11153
Minced Chicken Sisig Bowl,₹149,https://www.freshmenu.com/asian_coqfighter_chicken_bowl/product/13331
Pan Fried Canton Veg Noodles,₹149,https://www.freshmenu.com/pan_asian_teriyaki_chicken_noodle_bowl/product/10855
Asian Black Pepper Chicken Rice Bowl,₹149,https://www.freshmenu.com/asian_minced_chicken_sisig_bowl/product/14892
Sesame Paneer Curried Noodle Bowl,₹149,https://www.freshmenu.com/asian_pan_fried_canton_veg_noodles/product/14896
